id,name,api_football_data_id,created_at
1286,"Noah Raveyre",185551,"2026-04-13 11:32:11"
1287,"Andrea Bartoccioni",227051,"2026-04-13 11:32:11"
1288,"Andrei Coubis",188876,"2026-04-13 11:32:11"
1289,"Diego Sia",251141,"2026-04-13 11:32:11"
1290,"Victor Eletu",247120,"2026-04-13 11:32:11"
1291,"Clinton Nsiala-Makengo",244943,"2026-04-13 11:32:11"
1296,"Maat Daniel Caprini",250893,"2026-04-13 11:32:20"
1297,"Fallou Sene",250887,"2026-04-13 11:32:20"
1298,"Christian Biagetti",250867,"2026-04-13 11:32:20"
1300,"Lovro Golič",245043,"2026-04-13 11:32:29"
1302,"João Costa",221388,"2026-04-13 11:32:29"
1303,"Francesco D'Alessio",220609,"2026-04-13 11:32:29"
1304,"Mattia Mannini",220608,"2026-04-13 11:32:29"
1305,"Luigi Cherubini",189399,"2026-04-13 11:32:29"
1306,"Filippo Alessio",177234,"2026-04-13 11:32:29"
1308,"Paolo Vismara",213170,"2026-04-13 11:32:37"
1309,"Matteo Ruggeri",151241,"2026-04-13 11:32:37"
1310,"Pietro Comi",245244,"2026-04-13 11:32:37"
1312,"Tommaso Del Lungo",207051,"2026-04-13 11:32:37"
1314,"Matteo Colombo",204339,"2026-04-13 11:32:37"
1315,"Leonardo Mendicino",202308,"2026-04-13 11:32:37"
1316,"Andrea Ceresoli",191664,"2026-04-13 11:32:37"
1318,"Alessandro Cortinovis",157495,"2026-04-13 11:32:37"
1319,"Tommaso Ravaglioli",217544,"2026-04-13 11:32:45"
1322,"Velizar Iliev",202717,"2026-04-13 11:32:53"
1323,"Alessandro Vinciguerra",246156,"2026-04-13 11:32:53"
1324,"Paulo Dentello",86122,"2026-04-13 11:32:53"
1325,"Simone Calvani",227020,"2026-04-13 11:33:02"
1326,"Albert Guðmundsson",3851,"2026-04-13 11:33:02"
1327,"Riccardo Arboscello",244738,"2026-04-13 11:33:02"
1328,"Tommaso Pittino",244673,"2026-04-13 11:33:02"
1329,"Christos Papadopoulos",242561,"2026-04-13 11:33:02"
1330,"Yoan Bornosuzov",228745,"2026-04-13 11:33:02"
1331,"Matteo Motta",245198,"2026-04-13 11:33:10"
1332,"Giacomo Stabile",217910,"2026-04-13 11:33:10"
1333,"Issiaka Kamate",190998,"2026-04-13 11:33:10"
1334,"Aleksandar Stankovic",188920,"2026-04-13 11:33:10"
1335,"Giovanni Garofani",156656,"2026-04-13 11:33:18"
1336,"Simone Scaglia",189897,"2026-04-13 11:33:18"
1337,"Giovanni Daffara",191638,"2026-04-13 11:33:18"
1338,"Joseph Boende",202420,"2026-04-13 11:33:18"
1340,"Nikola Sekulov",158893,"2026-04-13 11:33:19"
1341,"Tommaso Mancini",151247,"2026-04-13 11:33:19"
1342,"Federico Magro",187110,"2026-04-13 11:33:27"
1343,"Davide Renzetti",192109,"2026-04-13 11:33:27"
1344,"Cristiano Lombardi",2331,"2026-04-13 11:33:27"
1346,"Luca Napolitano",247079,"2026-04-13 11:33:27"
1347,"Matteo Duțu",244837,"2026-04-13 11:33:27"
1348,"Saná Fernandes",217916,"2026-04-13 11:33:27"
1349,"Diego González",191417,"2026-04-13 11:33:27"
1351,"Hamed Traoré",2499,"2026-04-13 11:33:35"
1352,"Francesco Gioielli",246104,"2026-04-13 11:33:35"
1353,"Luigi D'Avino",221253,"2026-04-13 11:33:35"
1354,"Lorenzo Russo",217548,"2026-04-13 11:33:35"
1355,"Jesper Lindstrøm",81973,"2026-04-13 11:33:35"
1356,"Joel Malusà",215584,"2026-04-13 11:33:43"
1357,"Federico Mosca",221765,"2026-04-13 11:33:43"
1359,"Bor Žunec",217576,"2026-04-13 11:33:43"
1360,"David Pejičić",215588,"2026-04-13 11:33:44"
1361,"Samuel John Nwachukwu",215582,"2026-04-13 11:33:44"
1362,"Antonio Tikvic",175822,"2026-04-13 11:33:44"
1364,"Stefan Mitrović",136910,"2026-04-13 11:33:53"
1366,"Ruben Vinagre",4089,"2026-04-13 11:33:53"
1367,"Junior Ajayi",252918,"2026-04-13 11:33:53"
1368,"Nicolò Calabrese",221866,"2026-04-13 11:33:53"
1369,"Nicola Patanè",215513,"2026-04-13 11:33:53"
1370,"Christian Corradi",189152,"2026-04-13 11:33:53"
1371,"Daniel Silva",171370,"2026-04-13 11:33:53"
1372,"Daniel Theiner",185073,"2026-04-13 11:34:03"
1373,"Alessandro Scacchetti",218415,"2026-04-13 11:34:03"
1374,"Matteo Falasca",206128,"2026-04-13 11:34:03"
1375,"Seb Loeffen",244896,"2026-04-13 11:34:03"
1376,"Salim Abubakar",176880,"2026-04-13 11:34:03"
1377,"Justin Kumi",176917,"2026-04-13 11:34:03"
1378,"Samu Castillejo",33126,"2026-04-13 11:34:03"
1379,"Pietro Passador",140195,"2026-04-13 11:34:12"
1380,"Matteo Brezzo",220114,"2026-04-13 11:34:12"
1381,"Comè Bianay Balcot",246638,"2026-04-13 11:34:12"
1382,"Vimoj Muntu Wa Mungu",246081,"2026-04-13 11:34:12"
1383,"Jonathan Silva",244639,"2026-04-13 11:34:12"
1384,"Zannetos Savva",226987,"2026-04-13 11:34:12"
1385,"Jacopo Antolini",220113,"2026-04-13 11:34:12"
1386,"Alessandro Dellavalle",218559,"2026-04-13 11:34:12"
1387,"Aaron Ciammaglichella",191428,"2026-04-13 11:34:12"
1607,"Filippo Vertua",247357,"2026-04-13 18:19:17"
1608,"Simone Bastoni",41093,"2026-04-13 18:19:17"
1609,"Alberto Cerri",2606,"2026-04-13 18:19:17"
1610,"Giacomo Corona",211542,"2026-04-13 18:19:17"
1611,"Gabriele Indragoli",186532,"2026-04-13 18:19:17"
1612,"Herculano Nabian",171360,"2026-04-13 18:19:17"
1613,"Pasquale Allocca",217716,"2026-04-13 18:19:32"
1614,"Gregorio Salvati",240201,"2026-04-13 18:19:32"
1615,"Emanuele Elia",215581,"2026-04-13 18:19:32"
1616,"Tommaso Ferrari",249028,"2026-04-13 18:19:32"
1617,"Niccolò Guccione",251306,"2026-04-13 18:19:32"
1618,"Niccolò Pierozzi",213184,"2026-04-13 18:19:32"
1619,"Ciro Borrelli",245692,"2026-04-13 18:19:32"
1620,"Rocco Di Vico",251261,"2026-04-13 18:19:32"
1621,"Simeon Nwankwo",2236,"2026-04-13 18:19:32"
1622,"Gerardo Fusco",251310,"2026-04-13 18:19:32"
1623,"Luca Boncori",252916,"2026-04-13 18:19:32"
1624,"Lassana Coulibaly",8658,"2026-04-13 18:19:32"
1625,"Emanuel Vignato",1955,"2026-04-13 18:19:32"
1626,"Andres Sfait",206172,"2026-04-13 18:19:32"
1627,"Lorenzo Palmisani",172293,"2026-04-13 18:19:39"
1628,"Daniel Macej",214551,"2026-04-13 18:19:39"
1629,"Matjaž Kamenšek Pahič",215511,"2026-04-13 18:19:39"
1630,"Jaime Báez",2883,"2026-04-13 18:19:40"
1631,Pepinho,29230,"2026-04-13 18:20:09"
1632,"Andrea Ferraris",189203,"2026-04-13 18:20:09"
